"subject","trial","dots_left","dots_right","correct","rt","confidence"
4,38,50,64,TRUE,1444.65000001946,4
4,39,50,64,TRUE,2278.83999998448,4
4,40,62,50,TRUE,972.055000020191,5
4,41,62,50,FALSE,980.665000039153,4
4,42,50,64,TRUE,1093.67999999085,5
4,43,50,64,TRUE,1323.66500003263,4
4,44,62,50,TRUE,2170.29999999795,3
4,45,62,50,TRUE,1027.67499996116,5
4,46,50,60,TRUE,1019.94500000728,4
4,47,60,50,TRUE,1197.57000001846,3
4,48,58,50,TRUE,2411.54000000097,3
4,49,58,50,TRUE,1131.92000001436,5
4,50,56,50,FALSE,1529.61999998661,3
4,51,58,50,FALSE,1261.53999997769,4
4,52,50,60,TRUE,1059.54499996733,5
4,53,50,60,TRUE,1140.95999998972,4
4,54,50,58,TRUE,871.530000003986,5
4,55,58,50,TRUE,1124.55999996746,3
4,56,56,50,FALSE,891.865000012331,4
4,57,50,58,FALSE,1176.21000000509,3
4,58,60,50,TRUE,1148.98999995785,3
4,59,50,60,TRUE,856.92500002915,5
4,60,50,58,FALSE,2757.65500002308,4
4,61,60,50,TRUE,1301.76499998197,3
4,62,50,60,TRUE,837.96000003349,5
4,63,58,50,TRUE,964.999999967404,4
4,64,58,50,TRUE,967.604999954347,5
4,65,50,56,TRUE,1156.72999998787,4
4,66,50,56,TRUE,846.094999986235,5
4,67,54,50,FALSE,1136.14000001689,4
4,68,56,50,TRUE,1030.78999998979,4
4,69,50,56,TRUE,1027.57500001462,4
4,70,50,54,TRUE,1069.63500002166,4
4,71,50,54,TRUE,950.484999979381,4
4,72,52,50,FALSE,1035.96000000834,4
4,73,54,50,FALSE,1165.40999995777,4
4,74,50,56,TRUE,1277.37000002526,4
4,75,56,50,FALSE,1253.10500001069,4
4,76,50,58,TRUE,1078.29999999376,4
4,77,50,58,TRUE,1330.96499997191,5
4,78,56,50,FALSE,1020.09000000544,4
4,79,58,50,FALSE,1078.17499997327,5
4,80,50,60,TRUE,891.500000027008,5
4,81,50,60,TRUE,858.914999989793,6
4,82,58,50,TRUE,1203.35000002524,4
4,83,58,50,FALSE,997.789999993984,4
4,84,60,50,FALSE,1043.10000000987,5
4,85,50,62,TRUE,851.569999998901,6
4,86,62,50,FALSE,1206.29499998176,6
4,87,64,50,TRUE,884.554999996908,6
4,88,50,64,TRUE,796.035000006668,6
4,89,62,50,TRUE,972.724999999627,6
4,90,50,62,TRUE,852.04500000691,6
4,91,60,50,FALSE,1170.70500005502,5
4,92,50,62,TRUE,856.899999955203,5
4,93,50,62,TRUE,917.214999964926,6
4,94,60,50,TRUE,947.125000006054,5
4,95,50,60,TRUE,771.045000001322,6
4,96,58,50,TRUE,1157.2800000431,4
4,97,50,58,TRUE,794.449999986682,6
4,98,50,56,TRUE,831.669999985024,6
4,99,56,50,FALSE,1268.31499999389,6
4,100,50,58,TRUE,806.63500004448,6
4,101,50,58,TRUE,963.105000031646,6
4,102,50,56,TRUE,766.345000010915,6
4,103,56,50,FALSE,1191.0800000187,4
4,104,50,58,TRUE,938.870000012685,5
4,105,58,50,FALSE,1213.32500001881,4
4,106,60,50,FALSE,962.4199999962,5
4,107,62,50,TRUE,1374.1699999664,4
4,108,62,50,TRUE,947.294999961741,6
4,109,60,50,TRUE,1116.26000003889,4
4,110,60,50,TRUE,1403.83000002475,5
4,111,50,58,TRUE,813.710000016727,6
4,112,50,58,TRUE,766.745000029914,4
4,113,50,56,TRUE,772.385000018403,6
4,114,50,56,TRUE,886.674999957904,6
4,115,54,50,FALSE,895.58999997098,6
4,116,50,56,TRUE,907.385000027716,6
4,117,50,56,TRUE,1158.93500001403,4
4,118,54,50,TRUE,1167.2350000008,4
4,119,54,50,FALSE,839.990000007674,5
4,120,56,50,TRUE,1340.38999996847,4
5,1,70,50,FALSE,4848.9050000062,3
5,2,50,72,TRUE,1528.3999999956,3
5,3,50,72,TRUE,2308.30999999307,4
5,4,70,50,TRUE,2276.03999999701,3
5,5,50,70,TRUE,1432.16000001121,3
5,6,50,68,TRUE,1921.61999999371,3
5,7,68,50,TRUE,1276.67999999539,3
5,8,50,66,TRUE,928.625000000466,3
5,9,66,50,TRUE,1189.54999999551,3
5,10,50,64,TRUE,1159.09499999543,3
5,11,50,64,TRUE,1181.20999999519,3
5,12,62,50,FALSE,3138.32500000717,1
5,13,50,64,TRUE,2502.59499999811,2
5,14,50,64,TRUE,1189.64500000584,2
5,15,62,50,TRUE,1767.03000000271,1
5,16,50,62,TRUE,991.284999996424,2
5,17,60,50,FALSE,1144.9799999973,2
5,18,50,62,FALSE,2713.19500000391,2
5,19,50,64,TRUE,1105.59000000649,4
5,20,64,50,TRUE,2092.38500001084,4
5,21,62,50,TRUE,1236.74999999639,3
5,22,50,62,TRUE,1010.07000000391,5
5,23,50,60,TRUE,2352.28500000085,2
5,24,60,50,FALSE,3446.02499999746,2
5,25,50,62,TRUE,1075.74499999464,3
5,26,50,62,TRUE,1139.04999999795,3
5,27,60,50,FALSE,847.110000002431,3
5,28,50,62,TRUE,2058.99499999941,1
5,29,62,50,TRUE,1175.9699999966,2
5,30,50,60,TRUE,951.600000000326,3
5,31,60,50,TRUE,954.270000001998,4
5,32,50,58,TRUE,1132.28000000527,3
5,33,50,58,TRUE,1315.60499999614,3
5,34,56,50,TRUE,1206.55500001158,4
5,35,50,56,TRUE,1047.65999999654,3
5,36,50,54,TRUE,1158.59500000079,3
5,37,54,50,TRUE,1740.11499999324,2
5,38,52,50,FALSE,1034.06499999983,4
5,39,54,50,FALSE,969.345000004978,4
5,40,56,50,TRUE,1201.36500000081,4
5,41,56,50,TRUE,1269.64500000759,4
5,42,54,50,FALSE,1352.70999999193,2
5,43,50,56,TRUE,1408.02999999141,3
5,44,56,50,TRUE,1062.43499999982,2
5,45,54,50,TRUE,921.75499998848,2
5,46,50,54,TRUE,893.284999998286,3
5,47,52,50,FALSE,1256.32000000041,2
5,48,54,50,TRUE,2408.10000000056,2
5,49,54,50,FALSE,1356.59999999916,2
5,50,56,50,TRUE,1081.58999998705,4
5,51,56,50,TRUE,2382.43500000681,2
5,52,54,50,TRUE,1055.6399999914,3
5,53,50,54,FALSE,1221.0699999996,3
5,54,56,50,TRUE,1236.25000000175,2
5,55,50,56,TRUE,868.040000001201,2
5,56,54,50,TRUE,1005.53999999829,2
5,57,50,54,FALSE,2868.19999999716,1
5,58,50,56,TRUE,1016.14500000142,3
5,59,50,56,FALSE,1050.13000000326,4
5,60,50,58,TRUE,1269.42499999132,3
5,61,58,50,FALSE,1536.35500000382,3
5,62,50,60,TRUE,952.105000003939,3
5,63,60,50,TRUE,840.64500000386,4
5,64,50,58,TRUE,956.105000004754,5
5,65,50,58,TRUE,1496.48500001058,3
5,66,50,56,FALSE,5213.35499999986,2
5,67,58,50,TRUE,1187.33000000066,2
5,68,50,58,TRUE,989.03500000597,3
5,69,50,56,TRUE,1492.48999998963,2
5,70,56,50,TRUE,930.229999998119,2
5,71,50,54,FALSE,1130.25000000198,3
5,72,50,56,TRUE,1031.5649999975,3
5,73,56,50,FALSE,969.445000009728,3
5,74,58,50,TRUE,957.84500001173,3
5,75,58,50,TRUE,1326.4199999976,3
5,76,50,56,TRUE,1134.91500000237,5
5,77,56,50,TRUE,1206.91500000248,3
5,78,54,50,TRUE,1393.64500000374,5
5,79,50,54,FALSE,3650.63000000373,2
5,80,56,50,TRUE,1209.45999999822,3
5,81,56,50,TRUE,1131.81500000064,3
5,82,50,54,TRUE,1039.43000000436,3
5,83,50,54,TRUE,1336.175000004,3
5,84,52,50,TRUE,1719.15499999886,2
5,85,52,50,TRUE,1755.17499999842,2
5,86,50,52,TRUE,1058.3900000056,3
5,87,52,50,FALSE,1082.55500000087,3
5,88,50,54,TRUE,3875.61000000278,3
5,89,50,54,FALSE,1487.76499999803,2
5,90,50,56,TRUE,1283.64999999758,3
5,91,50,56,TRUE,1557.22499999683,2
5,92,54,50,TRUE,1227.61499999615,2
5,93,54,50,TRUE,1318.35499999579,1
5,94,52,50,TRUE,1311.39999999141,1
5,95,52,50,TRUE,1320.24499999534,1
5,96,50,52,TRUE,1128.84499999927,2
5,97,52,50,FALSE,1440.65499999851,2
5,98,50,54,TRUE,1043.82500000065,2
5,99,50,54,TRUE,888.014999989537,2
5,100,50,52,TRUE,1116.41000000236,2
5,101,52,50,FALSE,1000.03999999899,3
5,102,50,54,TRUE,1120.35000001197,2
5,103,54,50,FALSE,1234.85500000243,2
5,104,56,50,FALSE,3070.13500000176,1
5,105,50,58,TRUE,1110.95000000205,3
5,106,58,50,TRUE,1562.75000001187,2
5,107,56,50,TRUE,1396.46999999241,2
5,108,50,56,TRUE,1089.86999999615,2
5,109,54,50,FALSE,671.219999989262,2
5,110,50,56,TRUE,1032.11499999452,2
5,111,50,56,TRUE,1001.65500000003,2
5,112,54,50,FALSE,1363.93999999564,1
5,113,56,50,FALSE,1303.54500000249,1
5,114,58,50,FALSE,1344.35499999381,1
5,115,50,60,FALSE,1462.7349999937,1
5,116,62,50,TRUE,1073.19499998994,3
5,117,62,50,FALSE,1462.36999999383,1
5,118,50,64,TRUE,1059.37999999151,1
5,119,50,64,FALSE,1277.15999999782,1
5,120,66,50,TRUE,1143.36000000185,3
6,1,70,50,TRUE,2144.93499998935,3
6,2,70,50,TRUE,3340.03500000108,2
6,3,50,68,FALSE,1581.72499999637,3
6,4,70,50,FALSE,1290.59000001871,4
6,5,72,50,TRUE,3366.19500000961,1
6,6,72,50,TRUE,9109.83500001021,2
6,7,70,50,TRUE,1167.21499999403,3
6,8,70,50,TRUE,1824.47500000126,3
6,9,50,68,TRUE,1235.89499999071,4
6,10,68,50,TRUE,1344.96499999659,5
6,11,66,50,TRUE,982.239999982994,4
6,12,66,50,FALSE,1303.03999999887,3
6,13,50,68,TRUE,1322.54500000272,3
6,14,50,68,TRUE,1656.13499999745,3
6,15,50,66,TRUE,1589.21000000555,3
6,16,50,66,TRUE,1965.35000001313,2
6,17,50,64,TRUE,954.630000022007,3
6,18,64,50,TRUE,1000.63499997486,4
6,19,50,62,TRUE,1318.69000001461,5
6,20,50,62,TRUE,1074.19499999378,4
6,21,50,60,TRUE,1126.64000000223,3
6,22,60,50,TRUE,1174.44999999134,3
6,23,50,58,TRUE,1024.60500001325,3
6,24,58,50,TRUE,866.515000001527,3
6,25,50,56,TRUE,814.945000020089,4
6,26,56,50,TRUE,942.765000014333,5
6,27,50,54,FALSE,4098.88500001398,3
6,28,50,56,FALSE,2725.63000000082,2
6,29,58,50,FALSE,874.479999998584,3
6,30,60,50,TRUE,874.934999999823,4
6,31,60,50,TRUE,876.014999987092,4
6,32,58,50,FALSE,931.455000012647,3
6,33,60,50,TRUE,870.850000006612,2
6,34,50,60,TRUE,954.79499999783,3
6,35,58,50,TRUE,2701.06999998097,2
6,36,50,58,TRUE,1235.39999997593,3
6,37,50,56,TRUE,836.790000001201,2
6,38,56,50,FALSE,895.725000009406,4
6,39,50,58,TRUE,878.73500000569,4
6,40,50,58,TRUE,751.055000000633,3
6,41,56,50,FALSE,865.404999989551,3
